City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Powell,US,40.1578,-83.0752,51.01,50,1,10.36,clear sky
Ayotzintepec,MX,17.6667,-96.1333,81.32,56,87,2.8,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,57.2,94,96,3.4,overcast clouds
Bluff,NZ,-46.6,168.3333,60.01,76,84,7.0,broken clouds
Saint-Philippe,RE,-21.3585,55.7679,75.2,78,0,6.91,light rain
Hami,CN,42.8,93.45,56.64,11,1,11.01,clear sky
Lagoa,PT,39.05,-27.9833,60.55,88,48,11.27,scattered clouds
Esperance,AU,-33.8667,121.9,66.2,68,75,13.8,broken clouds
Champerico,GT,14.3,-91.9167,68.0,96,100,6.98,overcast clouds
Beloha,MG,-25.1667,45.05,69.6,96,13,2.98,few clouds
Samarai,PG,-10.6167,150.6667,78.69,89,99,11.39,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,39.2,87,0,8.05,clear sky
Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,88,20,6.91,few clouds
Rikitea,PF,-23.1203,-134.9692,78.58,71,11,7.11,few clouds
Fonte Boa,BR,-2.4959,-66.2662,72.21,99,100,2.19,overcast clouds
Albany,US,42.6001,-73.9662,57.2,58,75,1.83,broken clouds
Andapa,MG,-14.65,49.65,65.55,98,32,2.64,scattered clouds
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.0,93,75,15.66,broken clouds
Salalah,OM,17.0151,54.0924,77.0,73,20,4.61,few clouds
Busselton,AU,-33.65,115.3333,69.01,65,21,1.99,few clouds
Atuona,PF,-9.8,-139.0333,81.0,73,14,19.66,few clouds
New Norfolk,AU,-42.7826,147.0587,57.0,78,14,3.0,moderate rain
Kapaa,US,22.0752,-159.319,73.99,73,75,18.41,light rain
Kruisfontein,ZA,-34.0033,24.7314,58.48,92,2,2.77,clear sky
Castro,BR,-24.7911,-50.0119,53.02,98,96,5.08,overcast clouds
Narasannapeta,IN,18.4167,84.05,86.05,49,100,5.7,overcast clouds
Umm Lajj,SA,25.0213,37.2685,72.73,53,0,9.19,clear sky
Buchanan,LR,5.8808,-10.0467,78.13,85,94,2.04,overcast clouds
Marblehead,US,42.5001,-70.8578,48.2,76,90,8.05,overcast clouds
Dogondoutchi,NE,13.6393,4.0287,81.73,7,100,5.64,overcast clouds
Carnarvon,AU,-24.8667,113.6333,82.74,40,0,18.21,clear sky
Magdagachi,RU,53.45,125.8,36.43,52,24,4.59,few clouds
Chukhloma,RU,58.7525,42.6825,46.63,95,100,7.65,overcast clouds
Geraldton,AU,-28.7667,114.6,75.2,33,0,19.57,clear sky
Port Alfred,ZA,-33.5906,26.891,66.47,82,44,7.34,scattered clouds
Buin,CL,-33.7333,-70.75,63.0,77,0,5.75,clear sky
Camacupa,AO,-12.0167,17.4833,60.13,94,96,2.62,overcast clouds
Maceio,BR,-9.6658,-35.7353,73.4,100,75,4.61,moderate rain
Nago,JP,26.5881,127.9761,75.2,60,90,10.36,overcast clouds
Thompson,CA,55.7435,-97.8558,28.4,34,20,3.44,few clouds
Khatanga,RU,71.9667,102.5,-3.69,92,56,9.86,broken clouds
Aklavik,CA,68.2191,-135.0107,33.8,69,100,4.61,overcast clouds
Ushuaia,AR,-54.8,-68.3,41.0,70,40,5.75,light snow
Omsukchan,RU,62.5333,155.8,15.55,87,99,6.76,overcast clouds
Finnsnes,NO,69.2296,17.9811,35.6,93,90,3.44,light rain
Vaini,TO,-21.2,-175.2,80.6,74,40,8.05,scattered clouds
San Ignacio,BZ,17.1561,-89.0714,80.6,74,0,6.91,clear sky
Kurchum,KZ,48.5722,83.6542,47.23,47,2,7.58,clear sky
Tiksi,RU,71.6872,128.8694,14.29,89,53,2.55,broken clouds
Scalea,IT,39.813,15.7956,39.99,93,72,1.01,broken clouds
Komsomolskiy,UZ,40.4272,71.7189,64.4,42,100,4.61,overcast clouds
Tuatapere,NZ,-46.1333,167.6833,60.01,76,100,7.0,overcast clouds
Tarboro,US,35.8968,-77.5358,69.8,73,90,3.44,overcast clouds
Tura,IN,25.5198,90.2201,87.28,39,92,6.6,overcast clouds
Jamestown,US,42.097,-79.2353,46.0,53,90,9.22,overcast clouds
Avarua,CK,-21.2078,-159.775,82.4,65,40,6.91,scattered clouds
Tommot,RU,58.9564,126.2925,32.74,75,100,9.98,light snow
Sola,VU,-13.8833,167.55,89.6,66,40,2.3,scattered clouds
Ngunguru,NZ,-35.6167,174.5,71.01,62,38,5.99,scattered clouds
Mataura,NZ,-46.1927,168.8643,60.01,76,33,7.0,scattered clouds
Tasiilaq,GL,65.6145,-37.6368,30.2,100,75,29.93,snow
Kande,TG,9.9578,1.0447,80.6,69,0,4.61,clear sky
Praia Da Vitoria,PT,38.7333,-27.0667,57.99,94,0,3.76,clear sky
Norman Wells,CA,65.282,-126.8329,48.2,40,75,6.91,broken clouds
Iqaluit,CA,63.7506,-68.5145,-4.0,71,1,14.97,clear sky
Alghero,IT,40.5589,8.3181,44.6,93,0,1.14,clear sky
Qaanaaq,GL,77.484,-69.3632,-11.49,61,0,7.83,clear sky
Upernavik,GL,72.7868,-56.1549,-12.44,100,98,2.53,overcast clouds
Deputatskiy,RU,69.3,139.9,0.25,90,99,4.29,overcast clouds
Saskylakh,RU,71.9167,114.0833,2.52,86,22,5.66,few clouds
Cape Town,ZA,-33.9258,18.4232,63.0,94,0,10.36,clear sky
Vestmannaeyjar,IS,63.4427,-20.2734,44.06,92,100,29.59,light rain
Edson,CA,53.5835,-116.4356,53.6,30,1,5.75,clear sky
Kutum,SD,14.2,24.6667,66.87,13,17,8.59,few clouds
Vaitape,PF,-16.5167,-151.75,82.18,73,100,11.16,overcast clouds
Hualmay,PE,-11.0964,-77.6139,66.56,85,86,7.09,overcast clouds
Chokurdakh,RU,70.6333,147.9167,7.74,81,83,6.58,broken clouds
Santander,ES,43.4647,-3.8044,42.01,93,0,1.14,clear sky
Bethel,US,41.3712,-73.414,57.2,62,90,3.44,overcast clouds
Isangel,VU,-19.55,169.2667,86.0,79,40,3.44,scattered clouds
Berlevag,NO,70.8578,29.0864,29.77,78,96,14.23,light snow
Roma,US,43.2128,-75.4557,53.6,47,90,6.91,overcast clouds
Great Falls,US,47.5002,-111.3008,32.0,93,90,5.75,light snow
Banjarmasin,ID,-3.3244,114.591,84.2,79,40,9.22,scattered clouds
Sorland,NO,67.667,12.6934,41.05,82,100,24.43,overcast clouds
Dunda,TZ,-8.1167,34.25,61.61,97,76,1.45,broken clouds
Torbay,CA,47.6666,-52.7314,33.01,100,90,10.36,light snow
Clyde River,CA,70.4692,-68.5914,-5.8,71,1,17.27,clear sky
Ardakan,IR,32.31,54.0175,66.2,39,75,4.61,broken clouds
Bone,DE,51.9669,12.1396,32.0,83,99,5.73,overcast clouds
Sao Filipe,CV,14.8961,-24.4956,75.72,58,28,12.55,scattered clouds
Ekhabi,RU,53.5102,142.9671,26.53,82,100,23.78,light snow
Wilmington,US,34.2257,-77.9447,73.0,83,20,14.97,few clouds
Copperas Cove,US,31.1241,-97.9031,69.8,73,90,8.05,overcast clouds
Asau,RO,46.4333,26.4,37.99,67,100,4.0,overcast clouds
Cherskiy,RU,68.75,161.3,20.35,65,2,5.93,clear sky
Dingle,PH,10.9995,122.6711,87.62,61,90,7.7,light rain
Victoria,HK,22.2855,114.1577,73.99,87,99,1.99,overcast clouds
Inhambane,MZ,-23.865,35.3833,70.97,80,1,2.93,clear sky
Lorengau,PG,-2.0226,147.2712,83.98,70,61,4.79,broken clouds
Acarau,BR,-2.8856,-40.12,77.83,86,94,10.47,overcast clouds
Yellowknife,CA,62.456,-114.3525,39.2,45,1,3.44,clear sky
Lavrentiya,RU,65.5833,-171.0,29.08,89,97,2.95,overcast clouds
Vardo,NO,70.3705,31.1107,26.6,68,0,19.57,light snow
Kosh-Agach,RU,50.0,88.6667,29.21,54,10,2.21,clear sky
Port Blair,IN,11.6667,92.75,85.32,66,100,1.66,overcast clouds
Juneau,US,58.3019,-134.4197,41.0,87,90,3.2,light rain
Yeppoon,AU,-23.1333,150.7333,84.2,42,0,6.91,clear sky
Mbandaka,CD,0.0487,18.2603,70.81,95,93,3.44,overcast clouds
Coihaique,CL,-45.5752,-72.0662,42.21,97,27,6.38,scattered clouds
Lebu,CL,-37.6167,-73.65,54.75,92,100,3.96,moderate rain
Hobart,AU,-42.8794,147.3294,57.2,44,20,26.46,light rain
San Quintin,MX,30.4833,-115.95,56.3,72,87,16.15,overcast clouds
Fortuna,US,40.5982,-124.1573,51.01,81,1,3.44,clear sky
Talnakh,RU,69.4865,88.3972,11.68,92,100,11.52,light snow
Soubre,CI,5.7856,-6.6083,73.47,96,53,2.51,broken clouds
Ust-Shonosha,RU,61.1531,41.343,36.41,89,94,6.67,light rain
Dubbo,AU,-32.25,148.6167,75.2,33,3,10.36,clear sky
Slonim,BY,53.0867,25.3219,42.44,98,100,3.8,light rain
Puerto Del Rosario,ES,28.5004,-13.8627,68.0,73,0,5.75,clear sky
Kodiak,US,57.79,-152.4072,42.8,70,75,5.75,light rain
Port Elizabeth,ZA,-33.918,25.5701,59.0,94,20,3.44,few clouds
Dikson,RU,73.5069,80.5464,-14.12,99,100,8.39,overcast clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,68,0,5.75,clear sky
Kenai,US,60.5544,-151.2583,41.0,81,90,6.91,light rain
Qaqortoq,GL,60.7167,-46.0333,32.0,80,23,1.14,few clouds
Oktyabrskiy,RU,54.4815,53.471,46.69,77,1,3.85,clear sky
Barrow,US,71.2906,-156.7887,15.8,73,90,14.97,overcast clouds
Karaj,IR,35.8355,51.0103,59.0,66,0,9.22,haze
San Jose,US,37.3394,-121.895,59.0,62,20,11.5,few clouds
Ancud,CL,-41.8697,-73.8203,46.99,100,90,2.3,fog
Ahipara,NZ,-35.1667,173.1667,65.98,62,42,10.6,scattered clouds
Chuy,UY,-33.6971,-53.4616,62.11,85,59,8.21,broken clouds
Galveston,US,29.3669,-94.9669,73.99,83,90,13.8,overcast clouds
Margate,GB,51.3813,1.3862,41.0,70,16,3.0,few clouds
Waingapu,ID,-9.6567,120.2641,84.13,64,15,5.14,few clouds
Nanortalik,GL,60.1432,-45.2371,32.22,90,51,12.21,broken clouds
Georgetown,MY,5.4112,100.3354,87.8,66,20,4.61,few clouds
Olafsvik,IS,64.8945,-23.7142,41.5,95,90,16.35,light rain
Qinhuangdao,CN,39.9317,119.5883,57.34,53,38,18.81,scattered clouds
Inuvik,CA,68.3499,-133.7218,33.8,69,100,4.61,overcast clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,73.69,64,49,4.74,scattered clouds
Coquimbo,CL,-29.9533,-71.3436,59.0,82,90,2.3,overcast clouds
Soe,ID,-9.8607,124.284,77.52,49,96,5.41,overcast clouds
Hermanus,ZA,-34.4187,19.2345,61.0,92,82,1.01,broken clouds
Nantucket,US,41.2835,-70.0995,42.01,87,1,8.05,clear sky
Cidreira,BR,-30.1811,-50.2056,71.02,71,96,19.51,overcast clouds
Nikolskoye,RU,59.7035,30.7861,35.6,64,0,4.47,clear sky
Sainte-Maxime,FR,43.3,6.6333,46.0,87,48,7.36,scattered clouds
Ulladulla,AU,-35.35,150.4667,75.2,29,0,14.97,clear sky
Cap Malheureux,MU,-19.9842,57.6142,78.01,84,83,1.99,light rain
Vung Tau,VN,10.346,107.0843,79.47,79,97,6.76,overcast clouds
Codrington,AU,-38.2667,141.9667,58.75,77,100,18.12,overcast clouds
Vila Velha,BR,-20.3297,-40.2925,73.4,78,20,9.22,few clouds
Faya,SA,18.3851,42.4509,62.6,59,0,4.61,clear sky
Nizhniy Kuranakh,RU,58.8353,125.4869,32.7,64,100,9.13,overcast clouds
Mar Del Plata,AR,-38.0023,-57.5575,60.01,94,0,6.91,clear sky
Otane,NZ,-39.8833,176.6333,69.01,52,100,5.99,overcast clouds
Biak,ID,-0.9131,122.8766,82.6,69,95,3.56,overcast clouds
Kavieng,PG,-2.5744,150.7967,84.07,69,86,7.36,overcast clouds
Ritchie,ZA,-29.038,24.6028,53.6,71,0,6.67,clear sky
Ponta Do Sol,PT,32.6667,-17.1,66.2,59,20,4.61,few clouds
Narsaq,GL,60.9167,-46.05,32.0,80,22,1.14,few clouds
Sibut,CF,5.718,19.0739,74.98,62,60,1.7,broken clouds
Suoyarvi,RU,62.0833,32.35,28.33,93,12,2.62,few clouds
Hamilton,US,39.1834,-84.5333,51.01,81,20,4.61,few clouds
Ust-Ishim,RU,57.6935,71.1665,49.5,83,43,7.7,scattered clouds
Portland,US,45.5234,-122.6762,66.2,24,20,4.61,few clouds
Kisangani,CD,0.5167,25.2,69.06,99,100,1.83,moderate rain
Bilibino,RU,68.0546,166.4372,14.49,67,1,3.58,clear sky
Visby,SE,57.6409,18.296,33.01,89,100,3.0,overcast clouds
Weligama,LK,5.9667,80.4167,82.53,74,84,1.74,broken clouds
Tomatlan,MX,19.9333,-105.25,68.36,84,0,0.67,clear sky
Ribeira Grande,PT,38.5167,-28.7,61.52,89,32,7.63,scattered clouds
Longido,TZ,-2.7333,36.6833,62.98,91,90,2.73,overcast clouds
Cockburn Town,TC,21.4612,-71.1419,74.03,64,2,12.68,clear sky
Wuwei,CN,37.9281,102.6414,50.67,18,30,8.48,scattered clouds
Ulaangom,MN,49.9811,92.0667,46.36,28,6,0.49,clear sky
Mount Gambier,AU,-37.8333,140.7667,64.4,63,75,20.71,broken clouds
Bairiki,KI,1.3292,172.9752,87.8,70,20,9.22,light rain
Saint-Joseph,RE,-21.3667,55.6167,75.2,78,0,6.91,light rain
Loandjili,CG,-4.7561,11.8578,75.2,94,20,3.44,moderate rain
Bambous Virieux,MU,-20.3428,57.7575,78.01,94,75,2.3,light rain
Mayo,US,38.8876,-76.5119,55.4,100,90,6.91,light rain
Taoudenni,ML,22.6783,-3.9836,82.33,13,0,12.71,clear sky
Rassvet,RU,46.8333,40.75,44.62,90,9,2.33,clear sky
Tuktoyaktuk,CA,69.4541,-133.0374,28.4,86,90,10.36,overcast clouds
Acaponeta,MX,22.4964,-105.3594,68.34,69,0,0.85,clear sky
Savannah Bight,HN,16.45,-85.85,80.6,85,96,22.91,overcast clouds
Aban,RU,56.67,96.06,31.77,73,75,10.6,broken clouds
Qianan,CN,44.9932,124.0581,56.93,21,100,12.86,overcast clouds
Longyearbyen,SJ,78.2186,15.6401,6.8,61,40,13.8,scattered clouds
Hasaki,JP,35.7333,140.8333,60.01,38,20,10.36,few clouds
Pangnirtung,CA,66.1451,-65.7125,-9.96,97,95,5.21,overcast clouds
Ikom,NG,5.9667,8.7063,75.11,91,100,1.32,light rain
Tshikapa,CD,-6.4167,20.8,66.52,95,100,2.24,overcast clouds
Tongliao,CN,43.6125,122.2653,66.0,16,92,22.15,overcast clouds
Provideniya,RU,64.3833,-173.3,23.0,68,20,2.24,few clouds
Puerto Ayora,EC,-0.7393,-90.3518,76.03,90,24,3.24,few clouds
East London,ZA,-33.0153,27.9116,62.6,94,0,5.75,clear sky
Hilo,US,19.7297,-155.09,78.8,57,20,11.5,few clouds
Lykhivka,UA,48.6874,33.9228,45.16,87,100,6.38,overcast clouds
Beaverlodge,CA,55.2166,-119.4361,46.4,53,20,8.05,few clouds
Merauke,ID,-8.4667,140.3333,86.2,58,96,9.89,overcast clouds
Yakeshi,CN,49.2833,120.7333,37.04,41,100,10.33,light rain
Husavik,IS,66.0449,-17.3389,41.0,81,75,6.91,broken clouds
Katangli,RU,51.7102,143.2326,29.34,73,99,16.37,light snow
Quatre Cocos,MU,-20.2078,57.7625,78.01,94,75,2.3,light rain
Hokitika,NZ,-42.7167,170.9667,55.13,89,100,2.17,overcast clouds
Miquelon,PM,47.0975,-56.3814,35.85,83,42,18.79,scattered clouds
Broome,US,42.2506,-75.833,53.01,61,75,13.8,broken clouds
Poum,NC,-20.2333,164.0167,78.39,81,99,7.56,overcast clouds
Tramore,IE,52.1624,-7.1524,41.0,91,2,1.01,clear sky
Mantua,IT,45.1667,10.7833,39.99,81,100,3.0,overcast clouds
Mahebourg,MU,-20.4081,57.7,75.2,94,75,2.3,light rain
Fairbanks,US,64.8378,-147.7164,48.2,46,90,3.13,haze
Mehamn,NO,71.0357,27.8492,26.24,71,99,8.05,overcast clouds
Tobermory,CA,45.2501,-81.6665,37.4,93,100,5.75,overcast clouds
Zhigansk,RU,66.7697,123.3711,23.41,89,100,9.15,overcast clouds
La Ronge,CA,55.1001,-105.2842,41.0,33,78,3.44,broken clouds
Goderich,CA,43.7501,-81.7165,39.2,75,84,8.05,broken clouds
Oyama,JP,36.3,139.8,61.0,35,20,8.05,few clouds
Rabo De Peixe,PT,37.8,-25.5833,57.2,88,20,6.91,few clouds
Christchurch,NZ,-43.5333,172.6333,62.01,77,90,9.22,overcast clouds
Karratha,AU,-20.7377,116.8463,85.71,48,24,16.93,few clouds
Noumea,NC,-22.2763,166.4572,79.0,88,75,11.5,broken clouds
Port Lincoln,AU,-34.7333,135.8667,67.62,48,20,13.2,few clouds
Adrar,MR,20.5022,-10.0711,72.75,21,24,11.61,few clouds
Leningradskiy,RU,69.3833,178.4167,14.22,88,86,5.68,overcast clouds
Airai,TL,-8.9266,125.4092,72.37,42,67,3.13,broken clouds
Parintins,BR,-2.6283,-56.7358,74.07,97,98,2.06,overcast clouds
Ixtapa,MX,20.7,-105.2,77.0,78,1,5.75,clear sky
Novi Pazar,RS,43.1367,20.5122,31.84,88,45,2.37,scattered clouds
Kirakira,SB,-10.4544,161.9205,84.11,76,88,5.73,overcast clouds
Kavaratti,IN,10.5669,72.642,83.89,67,1,1.03,clear sky
Sibu,MY,2.3,111.8167,86.0,70,40,2.3,scattered clouds
Manggar,ID,-2.8833,108.2667,85.08,65,37,3.6,scattered clouds
Flin Flon,CA,54.7682,-101.865,27.91,81,100,4.03,overcast clouds
Bengkulu,ID,-3.8004,102.2655,83.59,65,99,3.62,overcast clouds
Macau,MO,22.2006,113.5461,73.4,88,40,17.27,light rain
Dudinka,RU,69.4058,86.1778,14.95,93,100,13.56,light snow
Anadyr,RU,64.75,177.4833,12.2,62,0,2.24,clear sky
Haapiti,PF,-17.5667,-149.8667,80.6,78,75,3.44,light rain
Tahlequah,US,35.9154,-94.97,54.0,71,90,6.91,overcast clouds
Shingu,JP,33.7333,135.9833,59.0,38,75,3.44,broken clouds
Caravelas,BR,-17.7125,-39.2481,75.72,68,77,9.19,broken clouds
Dahra,DZ,36.2546,0.8519,59.0,88,40,3.65,scattered clouds
Mackenzie,CA,55.2999,-123.1698,50.0,46,1,4.61,clear sky
Ostrovnoy,RU,68.0531,39.5131,26.13,84,84,26.02,broken clouds
Kahului,US,20.8947,-156.47,78.8,53,40,20.71,scattered clouds
North Myrtle Beach,US,33.816,-78.68,68.0,94,40,16.11,scattered clouds
Uyutne,UA,45.1994,33.3014,48.0,66,100,13.89,overcast clouds
Bandarbeyla,SO,9.4942,50.8122,81.27,69,98,4.25,overcast clouds
Vanimo,PG,-2.6741,141.3028,84.78,68,100,5.12,light rain
Namatanai,PG,-3.6667,152.4333,85.57,65,33,5.26,scattered clouds
Kyra,RU,49.5776,111.9753,36.34,27,100,14.94,overcast clouds
Alexandria,EG,31.2156,29.9553,57.2,82,0,4.61,clear sky
Boromo,BF,11.75,-2.9333,87.49,34,6,7.07,clear sky
Meulaboh,ID,4.1363,96.1285,83.44,71,84,1.43,broken clouds
Avera,US,33.194,-82.5271,71.6,53,90,9.22,overcast clouds
Cadillac,US,44.2519,-85.4012,35.6,80,90,6.91,overcast clouds
Bosaso,SO,11.2842,49.1816,79.11,71,42,8.08,scattered clouds
Aykhal,RU,66.0,111.5,20.64,85,95,6.55,overcast clouds
Lompoc,US,34.6391,-120.4579,51.8,82,50,5.75,scattered clouds
Bubaque,GW,11.2833,-15.8333,77.38,80,80,10.6,broken clouds
Port Hardy,CA,50.6996,-127.4199,51.8,58,20,2.3,few clouds
Forio,IT,40.7342,13.8646,53.01,71,61,3.0,broken clouds
Coahuayana,MX,18.7333,-103.6833,70.99,88,0,1.59,clear sky
Bukama,CD,-9.2,25.85,67.3,96,98,0.36,overcast clouds
Kindu,CD,-2.95,25.95,67.28,99,90,2.51,overcast clouds
Winneba,GH,5.3511,-0.6231,82.4,89,40,5.75,scattered clouds
Eyl,SO,7.9803,49.8164,80.01,71,75,5.99,broken clouds
Hauterive,FR,46.0901,3.4459,28.99,74,0,3.44,clear sky
Neiafu,TO,-18.65,-173.9833,80.6,74,75,2.3,broken clouds
Lavumisa,SZ,-27.31,31.892,66.69,95,12,2.89,few clouds
Phan Thiet,VN,10.9333,108.1,85.64,64,45,4.25,scattered clouds
Alekseyevsk,RU,57.8406,108.3492,32.41,73,100,4.99,overcast clouds
Yar-Sale,RU,66.8333,70.8333,32.31,94,100,8.32,overcast clouds
Mnogovershinnyy,RU,53.9353,139.9242,23.81,78,100,9.55,light snow
Krasnoselkup,RU,65.7,82.4667,34.65,99,100,24.83,overcast clouds
Ormara,PK,25.2088,64.6357,79.99,75,42,11.5,scattered clouds
Souillac,MU,-20.5167,57.5167,75.2,94,75,2.3,light rain
Jashpurnagar,IN,22.9,84.15,87.62,18,100,9.86,overcast clouds
Labuhan,ID,-6.8844,112.2051,84.24,69,58,5.95,broken clouds
Tambacounda,SN,13.7539,-13.7586,84.2,51,0,6.91,clear sky
Poya,NC,-21.35,165.15,80.04,81,98,8.25,light rain
Coos Bay,US,43.3665,-124.2179,53.6,58,1,16.11,clear sky
Paamiut,GL,61.994,-49.6678,23.47,77,57,27.83,broken clouds
Lasem,ID,-6.6922,111.4527,84.27,70,86,4.47,overcast clouds
Pak Phanang,TH,8.3511,100.202,91.4,55,20,3.44,few clouds
Najran,SA,17.4924,44.1277,73.4,46,51,11.5,dust
Payo,ID,-3.7508,103.6372,86.9,61,86,1.95,light rain
Tevaitoa,PF,-16.7833,-151.5,82.2,72,100,11.12,overcast clouds
Pisco,PE,-13.7,-76.2167,66.2,82,0,8.05,clear sky
Sinop,TR,41.7711,34.8709,48.11,82,100,5.66,overcast clouds
Havre-Saint-Pierre,CA,50.2334,-63.5986,32.0,93,1,6.46,clear sky
Oksfjord,NO,70.2396,22.3479,28.4,86,100,3.44,light snow
Chara,RU,56.9064,118.2631,20.66,70,66,1.54,broken clouds
The Valley,AI,18.217,-63.0578,79.0,78,20,6.91,few clouds
Joshimath,IN,30.5667,79.5667,66.11,37,4,1.19,clear sky
Portoferraio,IT,42.8115,10.3146,48.0,46,27,5.01,scattered clouds
Carutapera,BR,-1.195,-46.02,77.36,91,76,6.08,broken clouds
Cayenne,GF,4.9333,-52.3333,81.0,89,40,7.4,scattered clouds
Walvis Bay,NA,-22.9575,14.5053,79.0,31,0,3.0,clear sky
Sikasso,ML,10.9167,-7.0,81.88,49,78,7.63,broken clouds
Muros,ES,42.7762,-9.0603,51.01,75,29,3.0,scattered clouds
Richards Bay,ZA,-28.783,32.0377,71.31,89,48,7.92,scattered clouds
Urbano Santos,BR,-3.2078,-43.4036,74.03,98,90,3.33,overcast clouds
Dong Hoi,VN,17.4833,106.6,83.19,73,64,7.23,broken clouds
Atar,MR,20.5169,-13.0499,74.68,23,91,9.35,overcast clouds
Plouzane,FR,48.3833,-4.6167,39.2,75,0,4.61,clear sky
Boden,SE,65.8252,21.6886,28.4,69,21,2.3,few clouds
Comodoro Rivadavia,AR,-45.8667,-67.5,57.2,41,0,17.27,clear sky
Tupik,RU,54.4253,119.9327,31.35,76,96,2.59,light snow
Marsh Harbour,BS,26.5412,-77.0636,71.29,62,2,11.52,clear sky
Butaritari,KI,3.0707,172.7902,82.0,76,50,7.16,light rain
San Cristobal,VE,7.7669,-72.225,78.8,89,40,6.91,scattered clouds
Riyadh,SA,24.6877,46.7219,73.4,28,20,8.05,few clouds
Severo-Kurilsk,RU,50.6789,156.125,38.91,93,100,24.05,light rain
Arlit,NE,18.7369,7.3853,82.18,8,0,8.05,clear sky
Chernyshevskiy,RU,63.0128,112.4714,26.11,83,96,6.38,overcast clouds
Santiago Del Estero,AR,-27.7951,-64.2615,74.86,58,100,5.7,overcast clouds
Garowe,SO,8.4054,48.4845,71.47,89,97,5.32,overcast clouds
Finschhafen,PG,-6.6024,147.8681,84.92,65,42,7.61,scattered clouds
Kaitangata,NZ,-46.2817,169.8464,64.99,58,11,3.74,few clouds
Talcahuano,CL,-36.7167,-73.1167,55.4,88,0,5.82,clear sky
Manadhoo,MV,5.7667,73.3833,83.12,68,94,5.59,overcast clouds
Namibe,AO,-15.1961,12.1522,79.74,78,24,2.33,few clouds
Sibolga,ID,1.7427,98.7792,85.14,65,84,3.42,broken clouds
Pangody,RU,65.85,74.4859,37.65,100,100,20.13,moderate rain
Qiongshan,CN,20.0058,110.3542,86.0,66,75,6.71,broken clouds
Puerto Cabezas,NI,14.0351,-83.3888,77.61,84,8,8.32,clear sky
Armidale,AU,-30.5167,151.65,71.01,43,68,4.0,broken clouds
Alice Springs,AU,-23.7,133.8833,80.01,36,0,12.66,clear sky
Verkhoyansk,RU,67.5447,133.385,14.29,75,98,1.92,overcast clouds
Kysyl-Syr,RU,63.8986,122.7617,28.99,86,99,7.76,overcast clouds
Srivardhan,IN,18.0333,73.0167,85.17,56,0,2.19,clear sky
Kayerkan,RU,69.3497,87.7602,11.64,91,100,10.07,light snow
Hithadhoo,MV,-0.6,73.0833,82.09,64,44,3.56,scattered clouds
Palampur,IN,32.1167,76.5333,71.89,27,93,2.01,light rain
Alenquer,BR,-1.9417,-54.7383,75.2,100,20,2.3,few clouds
Yarensk,RU,62.1675,49.0916,38.7,79,100,8.1,light rain
Kasama,ZM,-10.2129,31.1808,59.92,97,100,3.76,overcast clouds
Masinigudi,IN,11.5667,76.6667,70.59,86,100,0.25,overcast clouds
Aljezur,PT,37.3191,-8.8033,59.5,89,68,9.6,broken clouds
Nanakuli,US,21.3906,-158.1547,78.8,50,1,10.36,clear sky
Palmer,US,42.1584,-72.3287,51.8,66,75,4.61,broken clouds
Cuamba,MZ,-14.8031,36.5372,60.6,97,13,3.65,few clouds
