City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Dali,CN,25.7,100.1833,69.22,30,4,5.93,clear sky
Charyshskoye,RU,51.3978,83.5598,44.35,67,39,1.7,scattered clouds
Birao,CF,10.2849,22.7882,71.8,8,69,6.17,broken clouds
Copiapo,CL,-27.3667,-70.3333,63.9,69,0,1.23,clear sky
Shepsi,RU,44.0361,39.1489,51.03,74,13,4.36,few clouds
Svetlyy,RU,54.675,20.1347,39.2,87,90,15.66,moderate rain
Pandan,PH,14.0453,124.1694,81.18,82,100,10.6,overcast clouds
Muravlenko,RU,63.7898,74.523,38.32,100,100,26.66,overcast clouds
Xining,CN,36.6167,101.7667,44.37,39,71,3.13,broken clouds
Mitu,CO,1.1983,-70.1733,72.01,98,100,1.88,light rain
Maldonado,UY,-34.6667,-54.9167,62.6,82,0,5.75,clear sky
Ilulissat,GL,69.2167,-51.1,14.0,62,75,17.27,broken clouds
Vestmanna,FO,62.1564,-7.1664,44.6,100,40,10.36,scattered clouds
Ulety,RU,51.3572,112.4849,39.0,26,83,8.59,broken clouds
Crissier,CH,46.5517,6.5713,30.99,84,5,10.29,clear sky
Hurghada,EG,27.2574,33.8129,66.2,24,0,4.61,clear sky
Touros,BR,-5.1989,-35.4608,77.0,94,20,3.44,few clouds
Parabel,RU,58.6978,81.4825,37.74,98,100,9.69,overcast clouds
Palomares,MX,17.15,-95.0667,79.52,64,80,12.19,broken clouds
Paita,PE,-5.0892,-81.1144,70.54,77,54,10.83,broken clouds
Bugene,TZ,-1.5911,31.1403,56.55,95,100,2.37,overcast clouds
Gornyy,RU,55.1153,83.9059,35.44,99,100,4.97,overcast clouds
Terney,RU,45.0503,136.6092,45.16,39,6,6.93,clear sky
Samarinda,ID,-0.5,117.15,76.87,89,100,4.25,moderate rain
Napasar,IN,27.9667,73.55,84.78,15,11,10.94,few clouds
Camacari,BR,-12.6975,-38.3242,80.6,61,20,11.5,few clouds
Sitka,US,57.0531,-135.33,42.8,87,90,8.05,light rain
Bontang,ID,0.1333,117.5,75.7,92,100,7.54,overcast clouds
Khandbari,NP,27.3747,87.2039,83.03,14,4,2.77,clear sky
Abonnema,NG,4.7084,6.7931,75.2,94,40,2.46,light rain
Borogontsy,RU,62.6683,131.1683,25.81,78,80,3.89,broken clouds
Klyuchi,RU,52.2667,79.1667,46.13,82,100,4.94,overcast clouds
Sangar,RU,63.9242,127.4739,21.99,88,100,2.46,overcast clouds
Luena,AO,-11.7833,19.9167,60.04,96,80,3.11,broken clouds
Camana,PE,-16.6228,-72.7111,67.51,85,81,5.41,broken clouds
Altea,ES,38.5989,-0.0514,55.0,89,100,11.79,overcast clouds
Kushmurun,KZ,52.4503,64.6311,45.27,59,7,2.33,clear sky
Adeje,ES,28.1227,-16.726,66.2,82,20,3.44,few clouds
Patiya,BD,22.2931,91.9762,86.0,74,40,5.01,haze
Okha,RU,53.5739,142.9478,26.55,81,100,23.94,light snow
Quang Ngai,VN,15.1167,108.8,87.6,56,14,7.87,few clouds
Aktau,KZ,43.65,51.2,51.8,87,90,13.42,overcast clouds
Roebourne,AU,-20.7833,117.1333,84.96,49,51,17.49,broken clouds
Puerto Escondido,MX,15.85,-97.0667,80.6,78,1,6.11,clear sky
Lahij,YE,13.1667,44.5833,71.33,87,5,2.28,clear sky
Kununurra,AU,-15.7667,128.7333,93.2,26,14,6.91,few clouds
Mecca,SA,21.4267,39.8261,75.54,40,61,0.36,broken clouds
Osa,RU,57.2829,55.4567,46.8,84,78,5.14,broken clouds
Axim,GH,4.8699,-2.2405,79.61,85,100,6.76,overcast clouds
Olden,NO,61.8364,6.8064,33.01,79,9,1.01,clear sky
Yulara,AU,-25.2406,130.9889,64.4,72,90,16.11,overcast clouds
Lata,PT,40.1629,-8.3327,62.01,89,100,2.33,overcast clouds
Burien,US,47.4704,-122.3468,62.6,29,1,11.5,clear sky
Russell,US,32.3502,-85.1999,66.2,68,90,4.61,overcast clouds
Fort Abbas,PK,29.1925,72.8536,82.49,26,85,5.95,overcast clouds
Belmonte,BR,-15.8631,-38.8828,71.6,94,75,5.75,broken clouds
Seydi,TM,39.4816,62.9137,63.09,40,0,3.47,clear sky
Hobyo,SO,5.3505,48.5268,81.36,69,96,9.08,overcast clouds
Sinnamary,GF,5.3833,-52.95,78.17,90,98,8.43,overcast clouds
Kaniama,CD,-7.5667,24.1833,61.79,96,99,4.0,overcast clouds
Greve Strand,DK,55.5834,12.2999,36.0,86,75,4.61,broken clouds
Arandis,NA,-22.4167,14.9667,79.0,31,0,3.0,clear sky
Saint-Augustin,CA,51.226,-58.6502,34.18,78,0,3.76,clear sky
Mbengwi,CM,6.0167,10.0,64.36,91,100,2.57,light rain
Orlik,RU,52.5178,99.825,26.01,70,97,12.86,light snow
Tibati,CM,6.4667,12.6333,69.58,86,100,2.93,overcast clouds
Ippy,CF,6.2679,21.2247,72.81,70,78,2.3,broken clouds
Balykshi,KZ,47.0667,51.8667,57.2,28,75,22.37,broken clouds
Shimoda,JP,34.6667,138.95,55.4,41,75,8.05,broken clouds
Canutama,BR,-6.5339,-64.3831,73.4,98,99,2.28,overcast clouds
Valle De Angeles,HN,14.15,-87.0333,73.4,60,20,3.02,few clouds
Liverpool,GB,53.4106,-2.9779,37.99,72,81,1.99,broken clouds
Solnechnyy,RU,50.7214,136.6319,32.52,54,79,5.88,broken clouds
Tancanhuitz,MX,21.6,-98.9667,77.04,82,100,1.68,overcast clouds
Henties Bay,NA,-22.116,14.2845,79.0,31,0,3.0,clear sky
Crib Point,AU,-38.35,145.2,64.99,59,64,19.1,broken clouds
Gayeri,BF,12.6497,0.4931,86.11,26,56,4.83,broken clouds
Hirara,JP,24.8,125.2833,78.8,69,40,18.41,scattered clouds
Balsas,BR,-7.5325,-46.0356,73.36,92,100,4.74,overcast clouds
Gasa,PS,31.5,34.4667,55.0,71,0,2.3,clear sky
Santa Rosa,PH,14.3122,121.1114,88.0,62,75,6.91,broken clouds
Diamantino,BR,-14.4086,-56.4461,76.03,78,100,3.47,overcast clouds
Dengzhou,CN,37.8086,120.7508,59.38,37,99,18.92,overcast clouds
Amboasary,MG,-25.0333,46.3833,77.0,78,20,18.41,few clouds
Itacare,BR,-14.2775,-38.9967,73.47,87,90,8.79,overcast clouds
Podyuga,RU,61.095,40.8647,35.53,89,95,6.67,overcast clouds
Willowmore,ZA,-33.2926,23.4895,60.6,71,7,2.42,clear sky
Panzhihua,CN,26.5851,101.7128,73.99,26,3,1.01,clear sky
Svetlogorsk,BY,52.6333,29.7333,46.83,88,100,5.97,light rain
Tyukhtet,RU,56.5389,89.3011,34.86,85,99,3.89,overcast clouds
Sur,OM,22.5667,59.5289,85.77,39,2,4.18,clear sky
San Patricio,US,28.017,-97.5169,75.99,94,75,8.05,broken clouds
New Castle,US,41.0037,-80.347,52.0,54,90,9.37,overcast clouds
Penzance,GB,50.1186,-5.5371,46.0,93,8,10.36,clear sky
Naryan-Mar,RU,67.6713,53.087,28.36,87,96,23.69,overcast clouds
Kemijarvi,FI,66.7131,27.4306,26.4,84,27,7.52,scattered clouds
Lazo,RU,43.3817,133.9014,51.8,25,6,7.9,clear sky
Morada Nova,BR,-5.1067,-38.3725,73.44,96,99,3.58,overcast clouds
Iquique,CL,-20.2208,-70.1431,66.2,72,90,6.91,overcast clouds
Krasnyy Chikoy,RU,50.3643,108.7512,36.86,40,83,11.63,broken clouds
Leh,IN,34.1667,77.5833,35.76,60,99,2.57,overcast clouds
Chapais,CA,49.7834,-74.8492,37.4,75,75,2.3,broken clouds
Suntar,RU,62.1444,117.6319,31.71,82,99,4.12,overcast clouds
Ngawi,ID,-7.4038,111.4461,83.61,73,55,3.67,broken clouds
Turka,UA,49.1541,23.0297,33.01,87,100,3.02,light snow
Havoysund,NO,70.9963,24.6622,28.4,74,75,3.44,broken clouds
Westport,US,41.1415,-73.3579,50.0,93,90,11.5,overcast clouds
Verkhnevilyuysk,RU,63.4453,120.3167,29.79,87,89,4.81,overcast clouds
Coxim,BR,-18.5067,-54.76,73.51,44,2,2.19,clear sky
Lakes Entrance,AU,-37.8811,147.981,70.0,41,0,5.01,clear sky
Trapani,IT,37.8333,12.6667,53.6,87,20,6.91,few clouds
Matamoros,MX,25.5333,-103.25,86.0,8,1,6.26,clear sky
Zhigalovo,RU,54.8097,105.1578,34.34,73,100,6.22,light snow
Tautira,PF,-17.7333,-149.15,80.6,78,75,3.44,broken clouds
Charters Towers,AU,-20.1,146.2667,83.98,23,6,8.28,clear sky
Kihei,US,20.785,-156.4656,78.8,53,40,20.71,scattered clouds
Rurrenabaque,BO,-14.4413,-67.5278,72.3,91,11,0.65,few clouds
Saint George,US,37.1041,-113.5841,64.99,17,1,3.44,clear sky
Unity,CA,52.4501,-109.1682,42.76,49,96,3.71,overcast clouds
Katsuura,JP,35.1333,140.3,60.8,29,40,12.66,scattered clouds
Bukachacha,RU,52.9833,116.9167,38.28,23,100,5.97,overcast clouds
Zhuhai,CN,22.2769,113.5678,79.0,88,40,17.27,light rain
Pilar,BR,-9.5972,-35.9567,73.4,100,75,4.61,moderate rain
Kiunga,PG,-6.1219,141.2906,90.79,46,57,3.56,broken clouds
Monforte De Lemos,ES,42.5216,-7.5142,46.0,79,14,1.77,few clouds
Homer,US,59.6425,-151.5483,37.4,87,90,9.22,light rain
Takoradi,GH,4.8845,-1.7554,79.47,85,100,7.58,overcast clouds
Camocim,BR,-2.9022,-40.8411,76.19,91,96,9.26,overcast clouds
Dillon,US,34.4166,-79.3712,72.0,60,90,8.05,overcast clouds
Luderitz,NA,-26.6481,15.1594,76.66,25,0,10.11,clear sky
Ruy Barbosa,BR,-12.2839,-40.4939,67.32,87,16,4.21,few clouds
Port-Gentil,GA,-0.7193,8.7815,81.01,78,100,3.0,overcast clouds
Luancheng,CN,37.8792,114.6517,68.0,49,69,8.95,broken clouds
Middlebury,US,44.0153,-73.1673,53.01,66,1,3.24,clear sky
Dakar,SN,14.6937,-17.4441,69.8,78,47,9.22,scattered clouds
Tiarei,PF,-17.5333,-149.3333,80.6,78,75,3.44,broken clouds
Necochea,AR,-38.5473,-58.7368,57.0,80,0,7.0,clear sky
Kedgwick,CA,47.6446,-67.3434,35.74,85,0,3.06,clear sky
Boende,CD,-0.2167,20.8667,70.2,98,86,2.48,overcast clouds
Gamba,GA,-2.65,10.0,74.75,86,100,4.0,overcast clouds
Serik,TR,36.9169,31.0989,51.8,100,75,2.3,broken clouds
Marawi,PH,7.9986,124.2928,82.99,84,100,7.0,overcast clouds
Urumqi,CN,43.801,87.6005,59.0,21,0,4.47,clear sky
Bonavista,CA,48.6499,-53.1147,32.0,93,7,3.44,clear sky
Saldanha,ZA,-33.0117,17.9442,66.2,59,64,5.75,broken clouds
Opuwo,NA,-18.0607,13.84,66.92,39,63,5.73,broken clouds
Mahon,ES,39.8885,4.2658,50.0,87,0,6.91,clear sky
Abu Dhabi,AE,24.4667,54.3667,80.6,69,0,5.75,clear sky
Mwense,ZM,-10.3845,28.698,65.05,93,97,2.86,overcast clouds
Tezu,IN,27.9167,96.1667,91.06,20,98,3.6,overcast clouds
Port Hedland,AU,-20.3167,118.5667,87.8,40,48,14.97,scattered clouds
Sakakah,SA,29.9697,40.2064,59.0,21,0,9.22,clear sky
Tolmachevo,RU,54.9824,82.7363,42.8,70,0,4.47,clear sky
Port Hawkesbury,CA,45.6169,-61.3485,32.0,80,20,5.75,few clouds
Padang,ID,-0.9492,100.3543,82.69,74,83,1.3,broken clouds
Valley City,US,46.9233,-98.0032,28.4,100,90,9.22,overcast clouds
Nioro,GM,13.35,-15.75,76.24,46,0,6.22,clear sky
Uglich,RU,57.5275,38.3317,45.75,93,100,8.39,overcast clouds
Hambantota,LK,6.1241,81.1185,84.2,89,20,3.44,few clouds
Nelidovo,RU,56.2211,32.7774,42.8,93,100,10.02,light rain
Turukhansk,RU,65.8167,87.9833,23.63,95,100,23.11,snow
Westminster,US,39.8367,-105.0372,42.01,60,75,9.22,broken clouds
Serra Talhada,BR,-7.9919,-38.2983,70.48,91,24,4.27,few clouds
Zhuji,CN,29.7188,120.2423,59.0,67,75,6.71,broken clouds
Cabo San Lucas,MX,22.8909,-109.9124,71.01,42,35,1.01,scattered clouds
Jalu,LY,29.0331,21.5482,62.92,51,100,9.53,overcast clouds
Constitucion,CL,-35.3333,-72.4167,55.9,79,4,8.52,clear sky
Amuntai,ID,-2.4177,115.2494,89.17,57,87,2.39,overcast clouds
Maniitsoq,GL,65.4167,-52.9,20.03,82,100,19.28,overcast clouds
Zhaotong,CN,27.3167,103.7167,59.31,60,24,8.37,few clouds
Andenes,NO,69.3143,16.1194,39.2,81,90,21.85,overcast clouds
Pimentel,PE,-6.8367,-79.9342,66.99,82,90,4.0,overcast clouds
Angoche,MZ,-16.2325,39.9086,73.94,81,58,7.54,broken clouds
Pasighat,IN,28.0667,95.3333,87.13,31,93,0.98,overcast clouds
Datong,CN,40.0936,113.2914,57.33,15,1,31.41,clear sky
Isfana,KG,39.8386,69.5306,62.6,36,100,17.9,overcast clouds
Blackfoot,US,43.1905,-112.345,37.0,93,100,3.0,moderate rain
Te Anau,NZ,-45.4167,167.7167,55.44,80,90,6.58,overcast clouds
Pevek,RU,69.7008,170.3133,8.69,72,14,4.45,few clouds
Ucluelet,CA,48.9329,-125.5528,52.0,73,5,1.99,clear sky
Puerto Leguizamo,CO,-0.1934,-74.7819,72.36,98,100,0.74,overcast clouds
Sitrah,BH,26.1547,50.6206,75.2,60,0,14.97,clear sky
Ambanja,MG,-13.6833,48.45,72.01,91,94,3.74,overcast clouds
Mutare,ZW,-18.9707,32.6709,54.39,94,0,1.52,clear sky
Winnipeg,CA,49.8844,-97.147,33.8,69,98,4.61,overcast clouds
Winburg,ZA,-28.518,27.0093,60.04,36,65,4.83,broken clouds
Pacific Grove,US,36.6177,-121.9166,55.4,71,20,4.61,few clouds
Jurbarkas,LT,55.0778,22.7664,38.3,96,100,15.75,overcast clouds
Matara,LK,5.9485,80.5353,82.58,75,77,2.3,broken clouds
Mercedes,AR,-34.6515,-59.4307,60.01,97,0,6.35,clear sky
Khuzhir,RU,53.1939,107.3397,32.09,71,100,8.99,overcast clouds
Okhotsk,RU,59.3833,143.3,28.33,62,100,12.1,overcast clouds
Sarlat-La-Caneda,FR,44.889,1.2166,37.4,60,0,3.44,clear sky
Novomykolayivka,UA,47.9781,35.9102,46.4,93,90,6.71,light intensity drizzle
Riviere-Au-Renard,CA,48.9957,-64.3971,30.2,93,1,3.8,clear sky
Chokwe,MZ,-24.5333,32.9833,65.82,93,0,1.72,clear sky
New Ulm,US,44.3125,-94.4605,37.99,80,90,13.8,overcast clouds
Havelock,US,34.8791,-76.9013,69.8,83,1,17.27,clear sky
Kaolack,SN,14.1825,-16.2533,95.0,34,0,4.61,clear sky
Churachandpur,IN,24.3333,93.6667,73.4,78,75,4.61,broken clouds
San Juan,AR,-31.5375,-68.5364,69.73,40,0,4.41,clear sky
Ihosy,MG,-22.4,46.1167,65.34,92,78,3.27,broken clouds
Benemerito De Las Americas,MX,16.5167,-90.6439,77.61,81,100,4.29,overcast clouds
Porto Seguro,BR,-16.4497,-39.0647,71.6,94,75,5.75,broken clouds
Baherden,TM,38.4362,57.4316,66.02,28,51,0.81,broken clouds
Valparaiso,CL,-33.0393,-71.6273,57.0,80,7,9.95,clear sky
Sungaipenuh,ID,-2.0833,101.3833,72.88,82,92,1.81,overcast clouds
Sao Sebastiao,BR,-23.76,-45.4097,69.71,82,45,5.93,scattered clouds
Polson,US,47.6936,-114.1632,42.01,68,5,11.99,clear sky
Santa Luzia,BR,-19.7697,-43.8514,64.4,68,0,5.75,clear sky
Islamkot,PK,24.6997,70.177,80.35,60,0,15.17,clear sky
Abbeville,FR,50.1,1.8333,35.01,84,7,6.15,clear sky
Guanare,VE,9.0418,-69.7421,74.03,86,100,1.72,overcast clouds
Prince Rupert,CA,54.3161,-130.3201,48.2,71,1,4.61,clear sky
Washington,US,47.5001,-120.5015,64.4,22,1,5.75,clear sky
Nemuro,JP,43.3236,145.575,50.0,34,40,11.5,scattered clouds
Viedma,AR,-40.8135,-62.9967,67.42,58,2,17.11,clear sky
Neryungri,RU,56.6709,124.6491,27.86,68,100,9.75,overcast clouds
Port Pirie,AU,-33.1833,138.0167,69.8,37,95,10.36,overcast clouds
Honiara,SB,-9.4333,159.95,83.59,79,83,3.13,broken clouds
Vicuna,CL,-30.0319,-70.7081,59.0,82,90,2.3,overcast clouds
Gulu,UG,2.7746,32.299,62.69,93,63,3.91,broken clouds
Egvekinot,RU,66.3167,-179.1667,14.23,85,11,1.32,few clouds
Paducah,US,37.0834,-88.6001,51.8,76,20,3.44,few clouds
Halifax,CA,44.6453,-63.5724,35.01,66,26,11.74,scattered clouds
Iracoubo,GF,5.4802,-53.2011,77.67,90,97,7.63,overcast clouds
Khani,GE,41.9563,42.9566,44.6,81,0,5.75,clear sky
Jiexiu,CN,37.0244,111.9125,65.77,14,75,24.56,broken clouds
Wau,SS,7.7029,27.9953,76.86,36,11,3.58,few clouds
Rakitnoye,RU,50.8389,35.8515,46.4,93,90,6.71,overcast clouds
Wagar,SD,16.1525,36.2032,73.36,33,13,6.78,few clouds
Doha,QA,25.2867,51.5333,78.8,50,0,8.05,clear sky
Saint Anthony,US,45.0205,-93.218,43.0,70,90,9.22,overcast clouds
Liaocheng,CN,36.4439,115.9647,72.12,41,4,20.58,clear sky
Vrangel,RU,42.7297,133.0839,43.41,63,49,4.97,scattered clouds
Campos,BR,-21.75,-41.3,65.07,84,7,6.31,clear sky
Bloemfontein,ZA,-29.1211,26.214,50.0,81,0,1.14,clear sky
College,US,64.8569,-147.8028,48.2,43,75,3.02,broken clouds
Puerto Narino,CO,-3.7703,-70.3831,75.2,100,40,2.3,scattered clouds
Nome,US,64.5011,-165.4064,34.0,80,1,5.75,clear sky
Nsanje,MW,-16.92,35.262,65.52,97,2,0.69,clear sky
Celestun,MX,20.8667,-90.4,79.9,75,62,13.58,broken clouds
Rio Grande,BR,-32.035,-52.0986,68.18,75,73,14.63,broken clouds
Karlstad,SE,59.3793,13.5036,32.0,86,40,8.05,scattered clouds
Zyryanskoye,RU,56.8306,86.6258,39.04,82,100,6.93,overcast clouds
Thinadhoo,MV,0.5333,72.9333,82.08,64,35,3.69,scattered clouds
Hilton Head Island,US,32.2163,-80.7526,70.0,73,1,12.66,clear sky
Alanya,TR,36.5438,31.9998,50.0,87,20,5.75,few clouds
Fort Nelson,CA,58.8053,-122.7002,55.4,33,40,5.75,scattered clouds
Abrau-Dyurso,RU,44.69,37.59,48.2,71,67,11.18,broken clouds
Tilichiki,RU,60.4667,166.1,23.25,92,100,7.09,light snow
Yaan,NG,7.3833,8.5667,76.03,71,99,5.12,overcast clouds
Ponta Delgada,PT,37.7333,-25.6667,57.2,88,20,6.91,few clouds
Preobrazheniye,RU,42.9019,133.9064,45.84,54,25,10.63,scattered clouds
Tiberias,IL,32.7922,35.5312,62.31,40,55,3.29,broken clouds
Ankara,TR,39.9199,32.8543,48.0,65,40,2.3,scattered clouds
Kollam,IN,8.8833,76.6,84.2,79,40,2.3,haze
Minab,IR,27.1467,57.0801,78.8,50,75,11.5,broken clouds
Wairoa,NZ,-39.0333,177.3667,69.01,53,81,4.0,broken clouds
Yishui,CN,35.7847,118.6281,63.1,44,57,17.98,broken clouds
Yumen,CN,40.2833,97.2,48.24,13,0,6.58,clear sky
Davila,PH,18.4726,120.5763,86.0,79,20,9.22,few clouds
El Nispero,HN,14.7667,-88.3333,70.84,91,100,1.81,overcast clouds
Morondava,MG,-20.2833,44.2833,75.74,86,15,6.06,few clouds
Mareeba,AU,-17.0,145.4333,87.01,51,58,14.97,broken clouds
Hemsedal,NO,60.8629,8.5534,17.01,77,3,5.12,clear sky
Dawlatabad,AF,36.4141,64.9053,66.02,27,98,2.39,overcast clouds
Bodden Town,KY,19.2833,-81.25,80.01,65,20,8.05,few clouds
Trinidad,BO,-14.8333,-64.9,73.15,88,38,2.84,scattered clouds
Kabalo,CD,-6.05,26.9167,66.06,97,100,3.31,overcast clouds
Yining,CN,29.0361,114.5636,63.86,85,100,1.14,overcast clouds
Chicama,PE,-7.8447,-79.1469,69.6,78,77,4.47,broken clouds
Sayyan,YE,15.1718,44.3244,60.57,55,39,0.16,scattered clouds
Moerai,PF,-22.4333,-151.3333,78.48,79,100,17.9,moderate rain
Omboue,GA,-1.5746,9.2618,75.88,90,100,3.09,overcast clouds
Beringovskiy,RU,63.05,179.3167,16.81,79,11,3.2,few clouds
Trincomalee,LK,8.5711,81.2335,83.14,70,94,1.86,overcast clouds
Sovetskiy,RU,61.3614,63.5842,48.31,69,94,13.67,overcast clouds
Miandoab,IR,36.9694,46.1027,41.0,45,0,11.5,clear sky
Alofi,NU,-19.0595,-169.9187,80.6,65,40,4.61,scattered clouds
Pochutla,MX,15.7432,-96.4661,80.01,68,61,4.0,broken clouds
Berea,US,41.3662,-81.8543,48.2,57,90,16.11,overcast clouds
Fomboni,KM,-12.28,43.7425,82.67,71,83,9.48,light rain
Tromso,NO,69.6496,18.957,33.8,93,90,18.41,light rain
Do Gonbadan,IR,30.3586,50.7981,59.0,55,0,1.36,clear sky
Methoni,GR,36.8197,21.7049,54.0,81,20,6.91,few clouds
Madimba,TZ,-10.4,40.3333,74.48,92,99,7.4,overcast clouds
Tucuman,AR,-26.8241,-65.2226,68.0,88,75,4.61,broken clouds
Kharian,PK,32.8149,73.8636,75.2,46,40,6.91,haze
Trairi,BR,-3.2778,-39.2689,75.67,93,77,5.93,broken clouds
Athabasca,CA,54.7169,-113.2854,46.4,31,21,1.14,few clouds
Dalhousie,IN,32.5333,75.9833,68.72,20,95,6.78,overcast clouds
Zapolyarnyy,RU,69.4154,30.8136,24.8,68,0,10.36,clear sky
Emba,KZ,48.8264,58.1442,55.65,43,3,16.51,clear sky
Togur,RU,58.3631,82.8265,37.63,99,100,8.32,overcast clouds
Sijunjung,ID,-0.6876,100.9537,83.41,77,79,1.36,light rain
Brownsville,US,25.9018,-97.4975,78.8,83,75,9.22,broken clouds
Ushibuka,JP,32.1906,130.0228,60.13,56,96,7.14,overcast clouds
Buenaventura,CO,3.8801,-77.0312,66.0,75,100,2.06,overcast clouds
Igrim,RU,63.1906,64.4162,49.23,77,100,16.06,overcast clouds
Ovsyanka,RU,55.9575,92.5519,33.8,75,40,6.71,scattered clouds
Barguzin,RU,53.6167,109.6167,35.17,53,88,7.63,overcast clouds
Faanui,PF,-16.4833,-151.75,82.13,73,100,10.92,overcast clouds
Fez,MA,34.0372,-4.9998,55.4,88,75,5.75,broken clouds
Macas,EC,-2.3167,-78.1167,66.99,97,91,2.24,light rain
Satipo,PE,-11.2522,-74.6386,68.38,98,78,2.26,broken clouds
Antofagasta,CL,-23.65,-70.4,62.6,77,75,8.05,broken clouds
Bongandanga,CD,1.5,21.05,68.86,92,32,2.75,scattered clouds
Brae,GB,60.3964,-1.353,39.2,93,40,5.5,scattered clouds
Algiers,DZ,36.7525,3.042,57.2,100,75,11.5,broken clouds
Izumo,JP,35.3667,132.7667,59.0,38,0,16.11,clear sky
Arazede,PT,40.2863,-8.65,62.01,89,100,2.86,overcast clouds
Aransas Pass,US,27.9095,-97.15,77.0,88,1,4.61,clear sky
Hofn,IS,64.2539,-15.2082,44.33,88,100,14.2,light rain
Razole,IN,16.4833,81.8333,84.2,65,75,11.5,broken clouds
Mao,ES,39.8885,4.2658,50.0,87,0,6.91,clear sky
Sao Joao Da Barra,BR,-21.6403,-41.0511,68.72,81,16,8.81,few clouds
Laurel,US,39.0993,-76.8483,55.99,100,90,3.33,overcast clouds
San Matias,BO,-16.3667,-58.4,74.62,68,34,4.81,scattered clouds
Jiayuguan,CN,39.8167,98.3,45.25,15,1,4.99,clear sky
Salta,AR,-24.7859,-65.4117,62.6,88,75,3.44,broken clouds
Eldorado,BR,-23.7869,-54.2836,69.78,78,79,5.3,broken clouds
Kushima,JP,31.4583,131.2333,62.6,42,40,10.36,scattered clouds
Kargasok,RU,59.0556,80.8572,39.29,94,100,12.82,overcast clouds
Butembo,CD,0.15,29.2833,56.97,95,100,3.33,overcast clouds
Mitchell,US,43.7094,-98.0298,41.0,60,90,10.36,overcast clouds
Filimonovo,RU,56.2011,95.4611,33.98,66,53,10.58,broken clouds
Belyy Yar,RU,53.6039,91.3903,42.8,70,0,6.71,clear sky
Banyuwangi,ID,-8.2325,114.3576,87.22,60,34,4.85,scattered clouds
Ochamchira,GE,42.7121,41.4721,51.48,64,13,5.21,few clouds
Tessalit,ML,20.1986,1.0114,82.85,10,3,4.34,clear sky
Saint-Marc,HT,19.1082,-72.6938,73.38,60,1,9.46,clear sky
Haines Junction,CA,60.7522,-137.5108,44.6,45,38,16.11,scattered clouds
Ambon,ID,-3.6954,128.1814,89.6,58,40,6.91,scattered clouds
Maneadero,MX,31.7167,-116.5667,57.0,77,17,5.01,few clouds
Rawson,AR,-43.3002,-65.1023,66.83,45,79,11.23,broken clouds
Ponnani,IN,10.767,75.9252,75.2,94,90,2.3,heavy intensity rain
Pouebo,NC,-20.4,164.5667,79.45,80,98,3.49,overcast clouds
Makakilo City,US,21.3469,-158.0858,80.01,50,1,10.36,clear sky
Kaeo,NZ,-35.1,173.7833,71.01,62,6,5.99,clear sky
Marzuq,YE,14.4,46.4667,66.81,54,0,4.83,clear sky
Xichang,CN,27.8964,102.2634,75.63,28,2,3.27,clear sky
Morgan City,US,29.6994,-91.2068,68.0,100,75,4.61,broken clouds
Byron Bay,AU,-28.65,153.6167,82.4,57,1,9.22,clear sky
Prenzlau,DE,53.3167,13.8667,37.0,83,100,1.01,overcast clouds
Gejiu,CN,23.306,103.1635,69.26,41,100,7.96,overcast clouds
Teahupoo,PF,-17.8333,-149.2667,80.6,78,75,3.44,broken clouds
Burns Lake,CA,54.2331,-125.7533,51.8,37,69,2.42,broken clouds
Fukue,JP,32.6881,128.8419,60.8,44,0,12.66,clear sky
Batagay-Alyta,RU,67.8006,130.4114,13.35,72,23,3.15,few clouds
Melfi,IT,40.9965,15.6514,32.0,74,40,4.61,scattered clouds
Bathsheba,BB,13.2167,-59.5167,77.0,69,20,6.91,few clouds
